,City,Country,Date,Cloudiness,Humidity,Wind Speed,Max Temp,Lat,Lng
60,Burnie,AU,1619315245,31,60,11.99,60.01,-41.0667,145.9167
61,Barcelos,PT,1619315712,40,88,5.75,60.8,41.5388,-8.6151
62,Norman Wells,CA,1619315188,75,36,9.22,44.6,65.282,-126.8329
63,Castro,BR,1619315384,74,80,4.03,58.03,-24.7911,-50.0119
64,Antofagasta,CL,1619315713,0,67,2.3,60.8,-23.65,-70.4
65,Nukus,UZ,1619315714,0,49,4.61,48.2,42.4531,59.6103
66,Mahébourg,MU,1619315524,75,78,17.27,78.8,-20.4081,57.7
67,Catalina,US,1619315714,51,27,15.01,82.99,32.5056,-110.9211
68,Kangasala,FI,1619315715,90,93,5.75,35.01,61.4638,24.076
69,Cherskiy,RU,1619315394,100,82,13.02,21.88,68.75,161.3
70,Kahului,US,1619315469,40,65,24.16,80.6,20.8947,-156.47
71,Lüderitz,NA,1619315716,97,80,5.01,62.29,-26.6481,15.1594
72,Caravelas,BR,1619315515,0,89,4.81,73.4,-17.7125,-39.2481
73,Punta Arenas,CL,1619315362,0,66,12.66,46.4,-53.15,-70.9167
74,Mount Darwin,ZW,1619315245,100,85,2.37,59.61,-16.7725,31.5838
75,George Town,MY,1619315330,20,89,4.61,84.2,5.4112,100.3354
76,Dhule,IN,1619315717,85,33,8.75,87.03,20.9,74.7833
77,Nome,US,1619315410,1,61,3.33,42.8,64.5011,-165.4064
78,Prainha,BR,1619315717,100,95,2.77,74.98,-1.8,-53.48
79,Samarai,PG,1619315191,26,71,15.97,84.54,-10.6167,150.6667
80,Kaitangata,NZ,1619315267,54,56,28.99,51.01,-46.2817,169.8464
81,Trujillo,PE,1619315666,44,84,7.94,68.27,-8.116,-79.03
82,Berlevåg,NO,1619315148,100,77,18.28,33.75,70.8578,29.0864
83,Matagalpa,NI,1619315592,61,71,2.98,72.39,12.9256,-85.9175
84,El'brus,RU,1619315719,100,95,6.29,41.88,43.2577,42.6443
85,Chennai,IN,1619315485,20,79,8.41,84.2,13.0878,80.2785
86,Lata,PT,1619315684,20,88,3.44,59.0,40.1629,-8.3327
87,Bānapur,IN,1619315720,0,53,5.86,85.48,19.7833,85.1833
88,Brumadinho,BR,1619315720,0,73,2.66,69.8,-20.1433,-44.1997
89,Bluff,NZ,1619315720,91,82,11.01,46.0,-46.6,168.3333
90,Lebu,CL,1619315720,0,83,15.01,53.76,-37.6167,-73.65
91,Cabo San Lucas,MX,1619315200,1,24,8.05,78.8,22.8909,-109.9124
92,Saint George,US,1619315721,1,11,19.57,78.8,37.1041,-113.5841
93,Kumano,JP,1619315722,75,39,10.36,66.2,34.3442,132.5894
94,Grand Gaube,MU,1619315722,100,89,8.99,75.0,-20.0064,57.6608
95,Thompson,CA,1619315370,75,46,8.05,26.6,55.7435,-97.8558
96,Port Macquarie,AU,1619315597,0,55,3.0,73.0,-31.4333,152.9167
97,Klaksvík,FO,1619315483,100,87,4.61,41.0,62.2266,-6.589
98,Iracoubo,GF,1619315406,100,87,11.36,77.97,5.4802,-53.2011
99,Vanimo,PG,1619315251,100,87,3.56,78.39,-2.6741,141.3028
100,Vokhma,RU,1619315723,100,93,10.27,41.79,58.9303,46.7586
101,Imbituba,BR,1619315724,0,83,4.61,71.6,-28.24,-48.6703
102,Dunedin,NZ,1619315486,68,62,18.01,53.01,-45.8742,170.5036
103,Hope,US,1619315724,7,61,3.0,63.0,33.6671,-93.5916
104,Nioro,GM,1619315725,8,35,9.35,75.76,13.35,-15.75
105,Cape Town,ZA,1619315337,0,88,2.3,60.01,-33.9258,18.4232
106,Avarua,CK,1619314937,75,74,13.8,82.4,-21.2078,-159.775
107,Broken Hill,AU,1619315220,0,52,6.91,64.4,-31.95,141.4333
108,East London,ZA,1619314969,99,77,5.28,63.9,-33.0153,27.9116
109,Taft,IR,1619315726,40,28,2.3,73.4,31.7471,54.2088
110,Boa Vista,BR,1619315726,90,88,16.11,77.0,2.8197,-60.6733
111,Katsuura,JP,1619315727,75,60,13.8,69.01,35.1333,140.3
112,Forest,US,1619315707,90,93,6.91,50.0,37.3638,-79.2897
113,Leshukonskoye,RU,1619315727,36,80,4.79,40.68,64.8989,45.7622
114,Chapais,CA,1619314985,1,75,9.22,33.8,49.7834,-74.8492
115,Petropavlovsk-Kamchatskiy,RU,1619315484,75,87,4.47,37.4,53.0452,158.6483
116,Saryg-Sep,RU,1619315728,100,60,4.45,35.08,51.5,95.6
117,Katangli,RU,1619315729,22,63,10.96,35.31,51.7102,143.2326
118,Kamenka,RU,1619315729,4,78,16.4,36.0,51.3223,42.7678
119,Opuwo,NA,1619315729,69,51,1.54,67.5,-18.0607,13.84
120,St. George's,GD,1619315311,20,78,14.97,80.6,12.0564,-61.7485
121,Kajaani,FI,1619315730,75,93,6.91,33.8,64.2273,27.7285
122,Esperance,AU,1619315429,48,52,19.57,68.0,-33.8667,121.9
123,Gwadar,PK,1619315731,1,82,6.49,79.74,25.1216,62.3254
124,Ashland,US,1619315731,100,95,1.99,48.99,40.8167,-82.2665
125,Hermanus,ZA,1619315731,100,80,3.0,63.0,-34.4187,19.2345
126,Leh,IN,1619315732,4,30,3.58,28.44,34.1667,77.5833
127,Padang,ID,1619315538,20,89,1.14,78.8,-0.9492,100.3543
128,Zarubino,RU,1619315732,2,36,13.0,52.07,42.63,131.0922
129,Hong Kong,HK,1619315543,89,85,6.22,80.01,22.2855,114.1577
130,Sangar,RU,1619315733,95,97,2.8,31.77,63.9242,127.4739
131,Butaritari,KI,1619315163,52,75,10.2,82.67,3.0707,172.7902
132,Siderno,IT,1619315734,13,82,12.66,57.99,38.2779,16.302
133,Līsakovsk,KZ,1619315735,77,72,10.0,45.1,52.5369,62.4936
134,Los Alamos,US,1619315585,1,14,5.75,64.99,35.8881,-106.307
135,Neuquén,AR,1619315735,0,93,5.48,51.8,-38.9516,-68.0591
136,Srednekolymsk,RU,1619315320,100,79,9.4,19.67,67.45,153.6833
137,Chinchani,IN,1619315736,100,66,0.92,82.72,19.8667,72.7
138,Sémbé,CG,1619315737,70,95,1.95,69.84,1.6481,14.5806
139,Magadan,RU,1619315737,87,58,9.06,25.47,59.5667,150.8
140,College,US,1619315245,20,18,4.61,62.6,64.8569,-147.8028
141,Raudeberg,NO,1619315400,38,82,11.32,36.0,61.9875,5.1352
142,Seoul,KR,1619315439,0,45,13.8,66.2,37.5683,126.9778
143,Codrington,AU,1619315156,61,70,9.6,59.9,-38.2667,141.9667
144,Denpasar,ID,1619315738,20,79,5.75,84.2,-8.65,115.2167
145,Portland,US,1619314988,100,85,3.0,52.0,45.5234,-122.6762
146,Cidreira,BR,1619315409,91,85,8.55,68.14,-30.1811,-50.2056
147,Puerto Ayora,EC,1619315739,84,88,6.26,75.76,-0.7393,-90.3518
148,Huron,US,1619315739,100,86,3.06,48.0,41.1501,-82.5499
149,Paita,PE,1619315740,100,76,15.26,69.91,-5.0892,-81.1144
150,Fort Nelson,CA,1619315740,20,25,12.66,46.4,58.8053,-122.7002
151,Tuktoyaktuk,CA,1619315741,20,86,10.36,24.8,69.4541,-133.0374
152,Vardø,NO,1619315741,100,73,21.16,35.26,70.3705,31.1107
153,São José da Coroa Grande,BR,1619315530,12,78,5.17,77.9,-8.8978,-35.1478
154,Sibolga,ID,1619315522,68,73,0.78,81.32,1.7427,98.7792
155,Limbaži,LV,1619315742,100,95,3.0,34.0,57.5129,24.7194
156,Waynesville,US,1619315742,81,79,5.01,52.0,35.4887,-82.9887
157,High Prairie,CA,1619315743,85,30,6.91,39.2,55.4334,-116.4858
158,Arraial do Cabo,BR,1619315315,10,80,6.96,73.42,-22.9661,-42.0278
159,Xining,CN,1619315743,100,94,2.71,39.96,36.6167,101.7667
160,Tautira,PF,1619315190,75,69,8.05,82.4,-17.7333,-149.15
161,Pangnirtung,CA,1619315744,72,77,7.38,27.55,66.1451,-65.7125
162,Saskylakh,RU,1619315637,100,96,10.69,32.38,71.9167,114.0833
163,Port-Gentil,GA,1619315744,87,88,10.04,77.76,-0.7193,8.7815
164,Hilo,US,1619315663,90,83,5.75,73.4,19.7297,-155.09
165,Aripuanã,BR,1619315745,35,98,0.98,73.15,-9.1667,-60.6333
166,Saldanha,ZA,1619315572,100,88,8.05,59.0,-33.0117,17.9442
167,Erzin,TR,1619315441,60,37,5.01,72.0,36.9559,36.2
168,Wanning,CN,1619315746,35,72,10.69,84.49,18.8003,110.3967
169,Atlantis,ZA,1619315746,100,87,4.43,60.01,-33.5667,18.4834
170,Adeje,ES,1619315747,20,68,5.75,66.2,28.1227,-16.726
171,Montelíbano,CO,1619315747,100,87,7.11,78.53,7.9829,-75.4229
172,Mangai,CD,1619315747,100,98,1.54,69.24,-4.05,19.5333
173,Zhigansk,RU,1619315220,100,99,6.67,33.71,66.7697,123.3711
174,Okhotsk,RU,1619315748,4,52,13.35,29.3,59.3833,143.3
175,Valparaíso,CL,1619315585,0,74,9.08,57.99,-33.0393,-71.6273
176,Ponta do Sol,PT,1619315749,91,86,7.0,57.99,32.6667,-17.1
177,Yellowknife,CA,1619315383,75,49,13.8,17.6,62.456,-114.3525
178,San Miguel de Tucumán,AR,1619315750,75,88,2.3,66.2,-26.8241,-65.2226
179,Saint-Philippe,RE,1619315390,75,78,23.02,77.0,-21.3585,55.7679
180,Porto-Vecchio,FR,1619315320,0,100,4.34,51.8,41.591,9.2795
181,Una,IN,1619315750,100,50,4.09,84.18,20.8167,71.0333
182,Pula,HR,1619315751,0,81,5.35,46.4,44.8683,13.8481
183,Øksfjord,NO,1619315751,90,59,16.11,32.0,70.2396,22.3479
184,Boyolangu,ID,1619315752,3,65,3.06,82.51,-8.1181,111.8935
185,Torbay,CA,1619315389,1,93,12.66,39.0,47.6666,-52.7314
186,Tiksi,RU,1619315351,100,92,11.34,32.63,71.6872,128.8694
187,Hobyo,SO,1619315753,17,67,8.32,83.14,5.3505,48.5268
188,Itapira,BR,1619315753,0,67,2.95,60.55,-22.4361,-46.8217
189,Taoudenni,ML,1619315129,1,9,9.69,85.53,22.6783,-3.9836
190,Saint-Augustin,CA,1619315484,18,75,8.12,34.99,51.226,-58.6502
191,Abong Mbang,CM,1619315754,89,92,1.19,65.84,3.9833,13.1833
192,Narsaq,GL,1619315735,75,30,33.38,53.6,60.9167,-46.05
193,Sechura,PE,1619315718,100,73,17.11,70.47,-5.5569,-80.8222
194,Kumul,CN,1619315280,95,45,19.04,40.14,42.8,93.45
195,Pokhara,NP,1619315755,0,17,1.23,80.44,28.2333,83.9833
196,Suntar,RU,1619315755,100,76,4.83,39.76,62.1444,117.6319
197,Victoria Point,AU,1619315756,0,65,1.99,78.01,-27.5833,153.3
198,Port Hedland,AU,1619315283,0,18,18.41,87.8,-20.3167,118.5667
199,Belyy Yar,RU,1619315335,0,39,8.95,44.6,53.6039,91.3903
200,Saint Paul Harbor,US,1619315756,90,87,9.22,42.8,57.79,-152.4072
201,Elizabeth City,US,1619315684,90,88,17.27,57.2,36.2946,-76.2511
202,Coquimbo,CL,1619315376,0,77,3.44,57.2,-29.9533,-71.3436
203,Sengiley,RU,1619315757,90,81,13.42,41.0,53.9622,48.7944
204,Shellbrook,CA,1619315223,75,30,3.44,39.2,53.2168,-106.4011
205,Vizinga,RU,1619315758,100,90,9.35,42.21,61.0749,50.1031
206,Pahrump,US,1619315674,1,14,18.41,80.6,36.2083,-115.9839
207,São Filipe,CV,1619315651,6,74,10.4,72.41,14.8961,-24.4956
208,Bathsheba,BB,1619315170,40,61,18.41,78.8,13.2167,-59.5167
209,Hambantota,LK,1619315177,20,100,1.14,75.2,6.1241,81.1185
210,Miramar,US,1619315759,1,78,6.91,80.6,25.9873,-80.2323
211,Pemangkat,ID,1619315481,53,69,4.45,84.31,1.1667,108.9667
212,Guasca,CO,1619315760,75,94,2.3,57.2,4.866,-73.8775
213,Ţahţā,EG,1619315760,0,30,6.91,69.8,26.7693,31.5021
214,Corinth,GR,1619315701,98,70,1.01,55.99,37.9407,22.9573
215,Oistins,BB,1619315259,40,61,18.41,78.8,13.0667,-59.5333
216,Marystown,CA,1619315311,6,87,13.65,35.73,47.1666,-55.1483
217,Riberalta,BO,1619315761,60,93,1.66,74.25,-10.9833,-66.1
218,Puerto Colombia,CO,1619315749,20,83,9.22,80.6,10.9878,-74.9547
219,Belle Fourche,US,1619315761,40,66,4.61,50.0,44.6714,-103.8522
220,Bonavista,CA,1619315128,33,81,6.91,39.0,48.6499,-53.1147
221,Lavrentiya,RU,1619315762,93,92,1.23,33.73,65.5833,-171.0
222,Mariehamn,AX,1619315762,75,75,11.5,33.8,60.0973,19.9348
223,Ayan,RU,1619315758,2,56,7.99,33.06,56.45,138.1667
224,Beringovskiy,RU,1619315191,100,92,3.04,32.63,63.05,179.3167
225,Shakhovskaya,RU,1619315763,89,88,15.66,30.99,56.0283,35.5097
226,Severo-Kuril'sk,RU,1619315764,100,97,5.86,34.92,50.6789,156.125
227,Warrington,GB,1619315764,0,81,6.91,45.0,53.3925,-2.5802
228,Zyryanka,RU,1619315765,100,58,2.1,21.02,65.75,150.85
229,Carnarvon,AU,1619315661,0,43,8.05,75.2,-24.8667,113.6333
230,Ixtapa,MX,1619315472,90,69,10.36,80.6,20.7,-105.2
231,Constitución,CL,1619315533,0,64,8.1,56.88,-35.3333,-72.4167
232,Papayal,PE,1619315766,100,69,2.57,75.6,-4.0761,-80.7361
233,Scalea,IT,1619315766,97,96,1.01,42.01,39.813,15.7956
234,Ossora,RU,1619315168,100,99,5.55,31.96,59.2353,163.0719
235,San Patricio,US,1619315767,20,28,10.36,82.4,28.017,-97.5169
236,Bariloche,AR,1619315561,0,61,6.91,50.0,-41.1456,-71.3082
237,Nhulunbuy,AU,1619315327,75,70,12.66,86.0,-12.2333,136.7667
238,Mandiana,GN,1619315768,99,57,5.68,81.37,10.6333,-8.6833
239,Geraldton,AU,1619315138,98,33,9.22,77.0,-28.7667,114.6
240,Half Moon Bay,US,1619315282,90,87,10.36,57.99,37.4636,-122.4286
241,Pacific Grove,US,1619315250,100,83,4.61,55.99,36.6177,-121.9166
242,Akasztó,HU,1619315769,0,75,5.28,39.99,46.6917,19.2042
243,Urusha,RU,1619315769,65,34,4.65,48.2,54.05,122.9
244,Širvintos,LT,1619315770,0,74,5.75,32.0,55.05,24.95
245,Guadalupe y Calvo,MX,1619315770,4,18,2.84,49.87,26.1,-106.9667
246,Fortuna,US,1619315212,1,66,11.5,55.99,40.5982,-124.1573
247,Talnakh,RU,1619315379,100,93,10.04,14.4,69.4865,88.3972
248,Bethel,US,1619315431,1,36,9.22,59.0,41.3712,-73.414
249,Eydhafushi,MV,1619315771,14,72,6.33,83.62,5.1033,73.0708
250,Bogorodskoye,RU,1619315771,100,87,15.19,32.79,56.55,37.8833
251,Basse,DE,1619315772,6,87,5.75,35.6,52.5518,9.5069
252,Souris,CA,1619315772,75,26,4.61,44.6,49.6172,-100.2612
253,College Place,US,1619315307,40,62,11.5,60.01,46.0493,-118.3883
254,Shimoda,JP,1619315266,75,64,16.11,68.0,34.6667,138.95
255,Xiaoyi,CN,1619315773,100,81,4.54,56.66,34.6178,109.703
256,Susanville,US,1619315275,90,49,12.66,48.2,40.4163,-120.653
257,Kismayo,SO,1619315232,98,75,8.57,81.03,-0.3582,42.5454
258,Strezhevoy,RU,1619315094,0,87,2.19,39.2,60.7333,77.5889
259,Fuerte Olimpo,PY,1619315774,100,98,5.99,68.88,-21.0415,-57.8738
260,Port Hardy,CA,1619315302,75,87,3.44,50.0,50.6996,-127.4199
261,Lima,PE,1619315708,40,88,10.36,64.4,-12.0432,-77.0282
262,Caiapônia,BR,1619315775,4,61,0.4,63.41,-16.9567,-51.8103
263,Mehamn,NO,1619315542,100,75,16.2,32.0,71.0357,27.8492
264,Prince Rupert,CA,1619315724,1,47,6.91,59.0,54.3161,-130.3201
265,Mandurah,AU,1619315711,5,88,0.69,66.99,-32.55,115.7
266,Rincón de la Victoria,ES,1619315776,90,94,2.3,60.8,36.7172,-4.2758
267,Porto-Novo,BJ,1619315776,100,86,5.14,79.43,6.4965,2.6036
268,Chu,KZ,1619315777,69,53,7.2,51.01,43.5983,73.7614
269,Cikupa,ID,1619315777,20,62,4.61,89.01,-6.2364,106.5083
270,Lompoc,US,1619315426,100,67,9.22,57.2,34.6391,-120.4579
271,Kudahuvadhoo,MV,1619315778,6,66,6.51,82.94,2.6708,72.8944
272,Ahipara,NZ,1619315517,42,54,8.66,64.8,-35.1667,173.1667
273,Port Lincoln,AU,1619315306,0,55,4.29,64.49,-34.7333,135.8667
274,San Jose,US,1619315373,90,45,14.97,62.6,37.3394,-121.895
275,Airai,TL,1619315395,22,53,3.94,71.26,-8.9266,125.4092
276,Pangody,RU,1619315779,100,92,4.29,29.86,65.85,74.4859
277,Inhambane,MZ,1619315780,2,85,9.57,71.08,-23.865,35.3833
278,Yumen,CN,1619315229,8,26,10.58,54.36,40.2833,97.2
279,Havre-St-Pierre,CA,1619315315,20,87,11.5,37.4,50.2334,-63.5986
280,Reconquista,AR,1619315780,4,86,6.31,60.73,-29.15,-59.65
281,Dicabisagan,PH,1619315781,65,69,7.47,80.85,17.0818,122.4157
282,Bereda,ES,1619315253,100,100,1.01,53.01,43.2686,-7.5406
283,Salalah,OM,1619315493,40,78,4.61,82.4,17.0151,54.0924
284,Skjervøy,NO,1619315308,88,59,4.36,31.73,70.0311,20.9714
285,Sabha,LY,1619315782,0,49,17.63,65.75,27.0377,14.4283
286,Sehithwa,BW,1619315621,4,26,5.44,62.64,-20.4667,22.7167
287,Luanda,AO,1619315545,20,94,2.3,77.0,-8.8368,13.2343
288,Rajaori,IN,1619315782,0,33,4.36,67.14,33.3833,74.3
289,Ürümqi,CN,1619315783,0,28,6.71,42.8,43.801,87.6005
290,Koppies,ZA,1619315783,0,34,2.98,49.87,-27.2418,27.5742
291,Murray Bridge,AU,1619315784,16,67,5.5,63.0,-35.1167,139.2667
292,Kolokani,ML,1619315649,80,25,2.57,88.34,13.5728,-8.0339
293,Gachsaran,IR,1619315784,0,37,4.25,66.2,30.3586,50.7981
294,Perieţi,RO,1619315785,0,87,3.44,46.0,44.4,24.55
295,Manama,BH,1619315785,0,54,4.61,82.4,26.2154,50.5832
296,Mogadishu,SO,1619315336,52,76,9.95,82.65,2.0371,45.3438
297,Biak,ID,1619315443,88,66,5.37,82.9,-0.9131,122.8766
298,Bambous Virieux,MU,1619315408,75,78,17.27,78.8,-20.3428,57.7575
299,Dharmābād,IN,1619315786,7,30,3.76,88.74,18.9,77.85
300,Asău,RO,1619315786,99,57,2.86,42.01,46.4333,26.4
301,Oktyabr'skiy,RU,1619315787,100,93,11.39,43.61,54.4815,53.471
302,Clyde River,CA,1619315069,90,93,3.44,17.6,70.4692,-68.5914
303,Touros,BR,1619315573,0,94,2.3,75.2,-5.1989,-35.4608
304,Quimper,FR,1619315689,0,62,10.36,53.6,48.0,-4.1
305,Finschhafen,PG,1619315788,100,72,1.95,83.5,-6.6024,147.8681
306,Lumsden,CA,1619315788,20,22,14.97,42.8,50.6501,-104.8678
307,Yakeshi,CN,1619315789,59,28,1.36,51.19,49.2833,120.7333
308,Kapoeta,SS,1619315789,100,67,0.47,76.42,4.7717,33.5903
309,Karratha,AU,1619315789,0,24,19.55,86.56,-20.7377,116.8463
310,Dingli,MT,1619315526,0,88,2.3,57.0,35.8614,14.3822
311,Vao,NC,1619315790,100,71,12.37,74.19,-22.6667,167.4833
312,Obo,CF,1619315790,100,98,5.35,69.35,5.3998,26.4869
313,Tuatapere,NZ,1619315326,41,82,8.99,45.0,-46.1333,167.6833
314,Bandarbeyla,SO,1619315791,26,76,6.4,82.35,9.4942,50.8122
315,Orange Cove,US,1619315680,94,35,1.99,73.0,36.6244,-119.3137
316,Bol,TD,1619315792,100,70,9.31,81.1,13.4586,14.7147
317,Laguna,US,1619315607,1,51,17.27,63.0,38.421,-121.4238
318,Salò,IT,1619315792,28,66,5.75,54.0,45.6086,10.531
319,Souillac,MU,1619315205,75,78,17.27,78.8,-20.5167,57.5167
320,Shingū,JP,1619315793,40,68,10.36,68.0,33.7333,135.9833
321,Kruisfontein,ZA,1619315415,37,94,1.99,57.99,-34.0033,24.7314
322,Upington,ZA,1619315793,0,36,3.44,59.0,-28.4478,21.2561
323,Coyhaique,CL,1619315764,100,97,4.54,46.29,-45.5752,-72.0662
324,Horsham,GB,1619315794,0,87,6.91,43.0,51.064,-0.3272
325,Mitchell,US,1619315760,1,29,6.91,46.4,43.7094,-98.0298
326,Baykit,RU,1619315795,100,88,3.04,39.06,61.67,96.37
327,Tomatlán,MX,1619315795,100,69,3.62,74.95,19.9333,-105.25
328,Fort Saint James,CA,1619315795,98,38,8.14,44.8,54.4333,-124.25
329,Umba,RU,1619315796,100,98,11.83,35.37,66.6871,34.3429
330,Kuytun,RU,1619315250,100,62,6.6,38.46,54.3419,101.5036
331,Umm Hājar,TD,1619315797,9,12,5.93,85.15,13.2954,19.6966
332,Maragogi,BR,1619315336,11,79,5.12,77.54,-9.0122,-35.2225
333,Turukhansk,RU,1619315114,100,94,10.36,31.06,65.8167,87.9833
334,Mae Sai,TH,1619315797,75,88,5.75,75.2,20.4335,99.8762
335,Bulgan,MN,1619315798,100,98,2.89,33.28,48.8125,103.5347
336,Gimli,CA,1619315681,18,19,6.91,44.6,50.6336,-96.9907
337,Abastumani,GE,1619315798,100,100,3.44,44.6,41.7075,42.8457
338,Butte,US,1619315267,1,37,5.75,66.2,39.6499,-121.5677
339,Smidovich,RU,1619315799,34,25,6.26,45.14,48.6,133.8167
340,Verkhoyansk,RU,1619315258,99,88,6.44,29.3,67.5447,133.385
341,Gamba,GA,1619315554,47,89,5.08,73.87,-2.65,10.0
342,Madera,US,1619315800,82,33,1.01,66.99,37.1666,-119.8343
343,Guéret,FR,1619315800,0,44,4.61,57.2,46.1667,1.8667
344,Betsiamites,CA,1619315801,20,53,5.75,44.6,48.9413,-68.646
345,Kassala,SD,1619315537,82,44,6.17,84.2,15.451,36.4
346,Nueva Loja,EC,1619315801,100,95,1.61,72.59,0.0847,-76.8828
347,Gizo Government Station,SB,1619315413,37,66,7.87,85.62,-8.103,156.8419
348,Sorong,ID,1619315239,16,70,5.68,84.13,-0.8833,131.25
349,Birao,CF,1619315802,80,57,5.03,77.81,10.2849,22.7882
350,Hailey,US,1619315786,1,50,9.22,51.8,43.5196,-114.3153
351,Kargasok,RU,1619315803,100,98,5.88,36.36,59.0556,80.8572
352,Isangel,VU,1619315491,75,66,5.75,87.8,-19.55,169.2667
353,Gurupi,BR,1619315803,73,76,3.83,76.82,-11.7292,-49.0686
354,Logroño,ES,1619315732,0,87,8.05,54.0,42.4667,-2.45
355,Topolobampo,MX,1619315804,1,30,11.5,82.4,25.6,-109.05
356,Kiryat Gat,IL,1619315344,10,100,3.15,64.0,31.61,34.7642
357,Trindade,BR,1619315380,0,83,3.44,69.8,-16.6494,-49.4889
358,Marabu,MY,1619315805,20,70,5.75,87.8,4.4148,114.0089
